customerId,recommendedProducts
96,48|4|42|25|21|52|40|15|34|7
97,4|42|25|33|21|52|40|27|34|7
98,4|42|25|33|21|52|15|27|34|7
99,4|25|33|21|52|40|15|27|34|7
100,4|42|25|33|52|40|15|27|34|7
101,42|25|33|21|52|40|15|27|34|7
102,4|42|25|33|21|52|40|15|27|7
103,4|42|33|21|52|40|15|27|34|7
104,0|30|29|4|42|33|52|27|34|7
105,29|48|4|42|25|33|21|52|15|34
106,42|25|33|21|52|40|15|27|34|7
107,4|42|25|33|21|52|40|27|34|7
108,42|25|33|21|52|40|15|27|34|7
109,42|25|33|21|52|40|15|27|34|7
110,4|42|25|33|21|52|15|27|34|7
111,4|42|25|33|21|52|40|15|27|34
112,42|25|33|21|52|40|15|27|34|7
113,4|42|25|33|21|52|15|27|34|7
114,48|4|42|25|33|21|40|15|27|34
115,4|42|25|33|21|40|15|27|34|7
116,4|42|33|21|52|40|15|27|34|7
117,4|42|25|33|21|52|40|15|27|7
118,42|25|33|21|52|40|15|27|34|7
119,4|42|25|33|52|40|15|27|34|7
120,42|25|33|21|52|40|15|27|34|7
121,48|4|42|25|33|21|52|15|34|7
122,4|25|33|21|52|40|15|27|34|7
123,4|25|33|21|52|40|15|27|34|7
124,42|25|33|21|52|40|15|27|34|7
125,48|4|42|25|21|52|15|27|34|7
126,29|48|42|25|33|52|40|15|27|7
127,4|42|25|33|21|52|40|15|34|7
128,42|25|33|21|52|40|15|27|34|7
129,4|42|25|33|21|52|40|15|34|7
130,4|42|25|33|21|52|40|15|27|7
131,42|25|33|21|52|40|15|27|34|7
132,30|29|42|25|33|40|15|27|34|7
133,4|42|25|33|21|52|40|15|34|7
134,42|25|33|21|52|40|15|27|34|7
135,48|4|42|25|33|21|52|40|15|34
136,48|4|25|33|21|40|15|27|34|7
137,4|42|25|21|52|40|15|27|34|7
138,29|48|4|42|25|40|15|27|34|7
139,4|42|25|21|52|40|15|27|34|7
140,30|29|48|42|25|52|15|27|34|7
141,4|42|25|33|21|52|40|15|27|34
142,30|29|48|4|42|21|52|27|34|7
143,42|25|33|21|52|40|15|27|34|7
144,4|42|25|33|52|40|15|27|34|7
145,4|42|25|33|52|40|15|27|34|7
146,4|42|33|21|52|40|15|27|34|7
147,4|25|33|21|52|40|15|27|34|7
148,29|4|25|33|21|52|40|15|27|34
149,42|25|33|21|52|40|15|27|34|7
150,4|42|25|33|21|52|40|27|34|7
151,42|25|33|21|52|40|15|27|34|7
152,4|42|25|21|52|40|15|27|34|7
153,29|4|42|25|21|40|15|27|34|7
154,4|42|25|21|52|40|15|27|34|7
155,4|42|25|33|21|52|40|15|27|7
156,42|25|33|21|52|40|15|27|34|7
157,4|42|25|33|21|40|15|27|34|7
158,42|25|33|21|52|40|15|27|34|7
159,48|4|25|21|52|40|15|27|34|7
160,4|42|33|21|52|40|15|27|34|7
161,48|4|42|25|33|21|52|15|27|34
162,48|25|33|21|52|40|15|27|34|7
163,4|42|25|33|21|52|40|15|27|34
164,4|42|25|33|52|40|15|27|34|7
165,4|42|25|33|21|52|40|15|34|7
166,4|42|25|21|52|40|15|27|34|7
167,4|42|25|33|21|52|15|27|34|7
168,42|25|33|21|52|40|15|27|34|7
169,48|42|25|33|21|40|15|27|34|7
170,4|42|25|33|21|52|40|27|34|7
171,42|25|33|21|52|40|15|27|34|7
172,42|25|33|21|52|40|15|27|34|7
173,42|25|33|21|52|40|15|27|34|7
174,48|42|33|21|52|40|15|27|34|7
175,42|25|33|21|52|40|15|27|34|7
176,4|42|25|33|21|40|15|27|34|7
177,42|25|33|21|52|40|15|27|34|7
178,4|42|25|33|21|52|15|27|34|7
179,48|42|25|33|21|52|40|15|34|7
180,4|25|33|21|52|40|15|27|34|7
181,42|25|33|21|52|40|15|27|34|7
182,48|25|33|21|52|40|15|27|34|7
183,4|42|25|33|21|52|40|15|27|34
184,4|42|25|21|52|40|15|27|34|7
185,4|42|25|21|52|40|15|27|34|7
186,42|25|33|21|52|40|15|27|34|7
187,42|25|33|21|52|40|15|27|34|7
188,29|48|42|25|33|21|40|15|34|7
189,48|4|42|25|21|52|40|15|27|7
190,42|25|33|21|52|40|15|27|34|7
191,42|25|33|21|52|40|15|27|34|7
192,42|25|33|21|52|40|15|27|34|7
193,42|25|33|21|52|40|15|27|34|7
194,42|25|33|21|52|40|15|27|34|7
195,4|42|25|21|52|40|15|27|34|7
196,30|48|42|25|33|21|40|15|27|7
197,42|25|33|21|52|40|15|27|34|7
198,4|25|33|21|52|40|15|27|34|7
199,4|42|25|33|52|40|15|27|34|7
200,48|4|42|25|21|52|40|15|27|7
201,48|4|25|21|52|40|15|27|34|7
202,42|25|33|21|52|40|15|27|34|7
203,4|42|33|21|52|40|15|27|34|7
204,42|25|33|21|52|40|15|27|34|7
205,42|25|33|21|52|40|15|27|34|7
206,48|4|25|33|21|52|40|27|34|7
207,42|25|33|21|52|40|15|27|34|7
208,48|4|42|25|33|21|52|15|27|7
209,48|4|25|21|52|40|15|27|34|7
210,42|25|33|21|52|40|15|27|34|7
211,48|4|42|25|33|21|40|27|34|7
212,42|25|33|21|52|40|15|27|34|7
213,48|4|42|25|21|52|15|27|34|7
214,48|4|42|25|21|52|40|15|27|34
215,48|4|42|25|33|21|40|15|27|7
216,48|4|42|25|33|40|15|27|34|7
217,42|25|33|21|52|40|15|27|34|7
218,4|42|25|33|21|52|40|15|27|7
219,29|48|4|42|25|33|21|52|40|34
220,48|4|42|25|33|52|40|15|34|7
221,42|25|33|21|52|40|15|27|34|7
222,42|25|33|21|52|40|15|27|34|7
223,4|42|25|33|21|52|40|15|27|7
224,48|4|42|25|52|40|15|27|34|7
225,42|25|33|21|52|40|15|27|34|7
226,42|25|33|21|52|40|15|27|34|7
227,4|42|25|33|21|52|40|15|27|34
228,42|25|33|21|52|40|15|27|34|7
229,4|42|25|33|52|40|15|27|34|7
230,4|42|25|21|52|40|15|27|34|7
231,42|25|33|21|52|40|15|27|34|7
232,4|42|25|33|21|52|40|15|34|7
233,4|42|25|21|52|40|15|27|34|7
234,48|4|42|25|33|52|40|15|27|7
235,48|42|25|33|21|40|15|27|34|7
236,29|4|42|25|33|52|40|15|34|7
237,42|25|33|21|52|40|15|27|34|7
238,42|25|33|21|52|40|15|27|34|7
239,4|42|25|33|21|52|40|15|27|7
240,4|42|33|21|52|40|15|27|34|7
241,4|42|33|21|52|40|15|27|34|7
242,42|25|33|21|52|40|15|27|34|7
243,42|25|33|21|52|40|15|27|34|7
244,4|42|25|33|21|52|40|15|34|7
245,48|4|42|25|21|40|15|27|34|7
246,42|25|33|21|52|40|15|27|34|7
247,42|25|33|21|52|40|15|27|34|7
248,4|42|33|21|52|40|15|27|34|7
249,29|48|4|33|21|40|15|27|34|7
250,4|25|33|21|52|40|15|27|34|7
251,29|48|4|42|33|52|40|15|27|7
252,29|42|25|33|21|52|40|15|34|7
253,4|25|33|21|52|40|15|27|34|7
254,42|25|33|21|52|40|15|27|34|7
255,48|4|42|25|21|52|40|27|34|7
256,4|42|33|21|52|40|15|27|34|7
257,4|25|33|21|52|40|15|27|34|7
258,4|42|25|21|52|40|15|27|34|7
259,29|4|42|33|21|52|15|27|34|7
260,4|25|33|21|52|40|15|27|34|7
261,42|25|33|21|52|40|15|27|34|7
262,42|25|33|21|52|40|15|27|34|7
263,4|42|25|33|21|52|40|15|27|34
264,42|25|33|21|52|40|15|27|34|7
265,42|25|33|21|52|40|15|27|34|7
266,29|48|4|25|21|52|15|27|34|7
267,42|25|33|21|52|40|15|27|34|7
268,29|48|4|42|52|40|15|27|34|7
269,42|25|33|21|52|40|15|27|34|7
270,4|42|25|33|21|52|40|15|27|7
271,4|42|33|21|52|40|15|27|34|7
272,4|42|33|21|52|40|15|27|34|7
273,0|30|4|42|25|21|52|15|27|7
274,42|25|33|21|52|40|15|27|34|7
275,48|4|42|33|21|52|40|15|27|34
276,48|4|42|25|33|21|40|27|34|7
277,48|4|42|33|21|52|15|27|34|7
278,4|42|25|33|52|40|15|27|34|7
279,4|42|25|21|52|40|15|27|34|7
280,42|25|33|21|52|40|15|27|34|7
281,4|42|25|33|21|40|15|27|34|7
282,4|42|25|33|21|52|40|15|34|7
283,4|42|25|33|21|52|40|15|27|34
284,29|48|4|42|52|40|15|27|34|7
285,48|4|42|25|21|52|40|27|34|7
286,4|42|25|21|52|40|15|27|34|7
287,42|25|33|21|52|40|15|27|34|7
288,30|29|48|4|33|21|52|40|15|7
289,4|42|25|33|21|52|40|15|34|7
290,48|4|42|25|33|52|40|15|27|34
291,4|42|25|33|21|52|40|15|27|7
292,4|42|25|33|21|40|15|27|34|7
293,4|42|25|33|21|52|40|27|34|7
294,42|25|33|21|52|40|15|27|34|7
295,4|42|25|33|21|52|40|15|27|7
296,42|25|33|21|52|40|15|27|34|7
297,42|25|33|21|52|40|15|27|34|7
298,30|29|4|42|21|52|40|15|34|7
299,48|4|42|25|33|21|40|15|27|7
300,42|25|33|21|52|40|15|27|34|7
301,48|4|42|33|52|40|15|27|34|7
302,42|25|33|21|52|40|15|27|34|7
303,4|42|25|33|52|40|15|27|34|7
304,42|25|33|21|52|40|15|27|34|7
305,4|42|25|33|21|52|40|15|27|7
306,4|42|25|33|21|40|15|27|34|7
307,42|25|33|21|52|40|15|27|34|7
308,4|42|25|33|21|52|40|27|34|7
309,42|25|33|21|52|40|15|27|34|7
310,42|25|33|21|52|40|15|27|34|7
311,4|42|25|21|52|40|15|27|34|7
312,42|25|33|21|52|40|15|27|34|7
313,4|42|25|33|21|52|40|15|27|34
314,42|25|33|21|52|40|15|27|34|7
315,42|25|33|21|52|40|15|27|34|7
316,4|42|33|21|52|40|15|27|34|7
317,4|42|25|33|21|52|40|15|34|7
318,42|25|33|21|52|40|15|27|34|7
319,42|25|33|21|52|40|15|27|34|7
320,30|29|4|42|25|21|40|27|34|7
321,30|29|48|4|42|33|40|27|34|7
322,48|4|42|25|21|52|40|15|34|7
323,4|42|25|33|21|52|40|15|34|7
324,48|42|25|33|21|52|40|15|27|7
325,48|4|25|33|21|52|15|27|34|7
326,42|25|33|21|52|40|15|27|34|7
327,4|42|25|33|52|40|15|27|34|7
328,48|4|25|33|21|40|15|27|34|7
329,42|25|33|21|52|40|15|27|34|7
330,4|42|25|33|21|52|15|27|34|7
331,48|4|42|25|33|52|40|15|34|7
332,4|42|25|33|21|52|40|27|34|7
333,29|48|42|33|21|52|40|15|27|34
334,4|42|25|33|21|52|15|27|34|7
335,4|42|25|33|21|52|40|27|34|7
336,4|42|25|33|21|40|15|27|34|7
337,4|42|25|33|21|52|40|15|27|34
338,48|4|42|25|33|52|40|15|27|7
339,4|42|33|21|52|40|15|27|34|7
340,42|25|33|21|52|40|15|27|34|7
341,4|42|25|33|21|52|40|15|34|7
342,4|42|25|33|21|40|15|27|34|7
343,4|25|33|21|52|40|15|27|34|7
344,4|42|25|21|52|40|15|27|34|7
345,42|25|33|21|52|40|15|27|34|7
346,4|42|25|33|21|52|40|15|27|7
347,4|42|25|33|21|40|15|27|34|7
348,42|25|33|21|52|40|15|27|34|7
349,42|25|33|21|52|40|15|27|34|7
350,4|42|33|21|52|40|15|27|34|7
351,42|25|33|21|52|40|15|27|34|7
352,48|4|25|33|52|40|15|27|34|7
353,42|25|33|21|52|40|15|27|34|7
354,42|25|33|21|52|40|15|27|34|7
355,42|25|33|21|52|40|15|27|34|7
356,29|4|42|25|33|21|52|15|27|7
357,48|42|25|33|21|52|15|27|34|7
358,29|42|25|33|52|40|15|27|34|7
359,4|42|25|33|21|52|40|15|34|7
360,4|42|25|33|21|52|40|15|27|7
361,4|42|25|33|21|52|40|27|34|7
362,4|42|25|33|21|52|40|15|34|7
363,42|25|33|21|52|40|15|27|34|7
364,42|25|33|21|52|40|15|27|34|7
365,4|42|25|33|21|52|40|27|34|7
366,48|4|42|25|33|21|52|40|15|7
367,48|4|42|25|33|52|40|15|27|34
368,4|42|25|33|21|40|15|27|34|7
369,42|25|33|21|52|40|15|27|34|7
370,4|42|25|33|21|52|40|15|27|7
371,4|25|33|21|52|40|15|27|34|7
372,29|48|42|25|21|40|15|27|34|7
373,4|42|25|33|21|52|40|15|27|7
374,42|25|33|21|52|40|15|27|34|7
375,4|42|25|33|21|52|40|15|34|7
376,4|42|25|33|21|52|40|15|27|7
377,30|29|48|4|42|25|40|15|34|7
378,42|25|33|21|52|40|15|27|34|7
379,42|25|33|21|52|40|15|27|34|7
380,42|25|33|21|52|40|15|27|34|7
381,48|4|42|25|33|52|40|15|27|7
382,48|4|42|33|21|52|40|15|27|7
383,42|25|33|21|52|40|15|27|34|7
384,4|42|25|33|21|52|40|15|27|7
385,4|42|25|33|21|52|15|27|34|7
386,4|25|33|21|52|40|15|27|34|7
387,30|29|4|25|33|52|40|15|27|7
388,29|48|42|25|21|52|15|27|34|7
389,42|25|33|21|52|40|15|27|34|7
390,42|25|33|21|52|40|15|27|34|7
391,29|4|25|33|21|40|15|27|34|7
392,42|25|33|21|52|40|15|27|34|7
393,48|42|25|33|21|52|40|15|27|34
394,42|25|33|21|52|40|15|27|34|7
395,42|25|33|21|52|40|15|27|34|7
396,42|25|33|21|52|40|15|27|34|7
397,42|25|33|21|52|40|15|27|34|7
398,48|4|42|25|33|21|52|15|27|34
399,4|42|25|33|21|52|40|15|27|7
400,29|4|42|25|21|40|15|27|34|7
401,48|4|25|33|21|52|15|27|34|7
402,48|4|42|25|33|21|40|27|34|7
403,4|42|33|21|52|40|15|27|34|7
404,4|42|25|33|21|52|15|27|34|7
405,4|25|33|21|52|40|15|27|34|7
406,4|42|25|33|21|52|40|15|27|7
407,42|25|33|21|52|40|15|27|34|7
408,42|25|33|21|52|40|15|27|34|7
409,29|48|4|42|33|21|40|27|34|7
410,42|25|33|21|52|40|15|27|34|7
411,42|25|33|21|52|40|15|27|34|7
412,42|25|33|21|52|40|15|27|34|7
413,4|42|25|33|21|52|40|15|27|7
414,4|42|25|33|52|40|15|27|34|7
415,48|4|42|25|21|40|15|27|34|7
416,4|42|25|33|21|52|40|15|27|7
417,42|25|33|21|52|40|15|27|34|7
418,48|4|42|25|33|52|40|15|27|34
419,0|29|48|4|42|52|40|27|34|7
420,48|4|42|33|52|40|15|27|34|7
421,42|25|33|21|52|40|15|27|34|7
422,29|4|25|33|21|52|40|15|34|7
423,4|42|25|33|21|52|40|15|34|7
424,29|42|25|33|21|52|40|27|34|7
425,42|25|33|21|52|40|15|27|34|7
426,42|25|33|21|52|40|15|27|34|7
427,4|42|25|33|21|52|40|27|34|7
428,4|42|25|33|21|52|40|15|27|34
429,42|25|33|21|52|40|15|27|34|7
430,4|42|25|21|52|40|15|27|34|7
431,29|4|42|33|21|52|15|27|34|7
432,4|42|25|33|21|52|40|15|27|34
433,4|42|25|33|21|52|40|15|34|7
434,42|25|33|21|52|40|15|27|34|7
435,42|25|33|21|52|40|15|27|34|7
436,48|4|42|25|33|21|52|40|34|7
437,4|42|25|33|21|40|15|27|34|7
438,29|48|42|33|21|52|40|15|34|7
439,42|25|33|21|52|40|15|27|34|7
440,42|25|33|21|52|40|15|27|34|7
441,42|25|33|21|52|40|15|27|34|7
442,4|42|25|33|21|52|15|27|34|7
443,48|4|42|25|33|21|52|40|15|27
444,42|25|33|21|52|40|15|27|34|7
445,42|25|33|21|52|40|15|27|34|7
446,48|42|25|33|21|52|15|27|34|7
447,48|4|42|25|21|52|40|27|34|7
448,42|25|33|21|52|40|15|27|34|7
449,29|48|4|42|25|33|21|52|15|27
450,42|25|33|21|52|40|15|27|34|7
451,4|42|25|33|21|52|40|15|34|7
452,4|42|25|33|52|40|15|27|34|7
453,42|25|33|21|52|40|15|27|34|7
454,29|48|4|42|25|33|40|27|34|7
455,48|4|42|25|33|21|52|40|15|34
456,42|25|33|21|52|40|15|27|34|7
457,48|4|42|33|21|40|15|27|34|7
458,48|4|42|25|21|52|40|27|34|7
459,48|42|25|33|21|52|40|15|34|7
460,4|42|25|33|52|40|15|27|34|7
461,4|42|25|33|21|52|40|15|34|7
462,29|48|4|42|25|33|21|52|40|34
463,42|25|33|21|52|40|15|27|34|7
464,42|25|33|21|52|40|15|27|34|7
465,42|25|33|21|52|40|15|27|34|7
466,48|4|42|25|33|52|40|27|34|7
467,4|25|33|21|52|40|15|27|34|7
468,4|42|33|21|52|40|15|27|34|7
469,42|25|33|21|52|40|15|27|34|7
470,4|25|33|21|52|40|15|27|34|7
471,29|4|42|21|52|40|15|27|34|7
472,4|42|25|33|21|52|40|15|27|34
473,42|25|33|21|52|40|15|27|34|7
474,48|4|25|33|21|52|40|15|27|7
475,42|25|33|21|52|40|15|27|34|7
476,48|4|42|25|21|52|40|15|27|34
477,30|29|4|42|33|40|15|27|34|7
478,42|25|33|21|52|40|15|27|34|7
479,42|25|33|21|52|40|15|27|34|7
480,42|25|33|21|52|40|15|27|34|7
481,48|4|25|33|21|52|40|27|34|7
482,42|25|33|21|52|40|15|27|34|7
483,4|42|25|33|21|52|40|15|34|7
484,42|25|33|21|52|40|15|27|34|7
485,4|42|25|33|21|52|40|15|27|34
486,4|42|25|33|21|52|40|15|34|7
487,4|42|25|33|52|40|15|27|34|7
488,4|42|25|33|21|52|40|15|27|7
489,4|25|33|21|52|40|15|27|34|7
490,42|25|33|21|52|40|15|27|34|7
491,42|25|33|21|52|40|15|27|34|7
492,29|48|4|42|25|33|52|40|34|7
493,4|42|25|33|21|52|40|15|27|34
494,29|48|4|42|21|52|40|15|27|34
495,48|4|42|25|33|52|40|27|34|7
496,42|25|33|21|52|40|15|27|34|7
497,48|4|42|25|21|52|40|15|27|7
498,42|25|33|21|52|40|15|27|34|7
499,48|4|42|33|21|52|40|15|27|34
500,29|48|4|25|33|21|40|15|27|7
501,4|42|25|33|21|52|40|15|27|7
502,4|42|25|33|21|52|15|27|34|7
503,48|4|25|33|21|52|15|27|34|7
504,4|42|25|33|52|40|15|27|34|7
505,42|25|33|21|52|40|15|27|34|7
506,42|25|33|21|52|40|15|27|34|7
507,30|48|4|42|25|33|52|40|15|27
508,48|4|42|25|21|52|15|27|34|7
509,42|25|33|21|52|40|15|27|34|7
510,42|25|33|21|52|40|15|27|34|7
511,4|42|25|33|52|40|15|27|34|7
512,48|4|42|25|21|52|40|15|34|7
513,29|48|42|25|33|21|52|40|27|7
514,42|25|33|21|52|40|15|27|34|7
515,4|42|25|33|21|52|40|15|27|7
516,4|42|25|33|21|52|40|15|27|7
517,42|25|33|21|52|40|15|27|34|7
518,42|25|33|21|52|40|15|27|34|7
519,42|25|33|21|52|40|15|27|34|7
520,48|4|42|33|21|52|40|15|34|7
521,4|42|25|21|52|40|15|27|34|7
522,4|42|25|33|21|40|15|27|34|7
523,4|42|25|33|21|52|15|27|34|7
524,42|25|33|21|52|40|15|27|34|7
525,4|42|25|33|21|52|40|27|34|7
526,48|4|42|25|33|21|52|40|27|7
527,48|4|25|33|21|52|40|27|34|7
528,48|4|25|33|21|52|40|15|27|34
529,42|25|33|21|52|40|15|27|34|7
530,29|48|4|42|25|33|40|15|27|34
531,42|25|33|21|52|40|15|27|34|7
532,4|42|25|33|21|40|15|27|34|7
533,4|42|25|33|52|40|15|27|34|7
534,48|4|42|25|33|21|40|15|27|7
535,4|42|25|33|21|52|40|27|34|7
536,42|25|33|21|52|40|15|27|34|7
537,4|42|25|33|21|52|40|15|27|7
538,42|25|33|21|52|40|15|27|34|7
539,42|25|33|21|52|40|15|27|34|7
540,42|25|33|21|52|40|15|27|34|7
541,4|42|25|33|21|40|15|27|34|7
542,42|25|33|21|52|40|15|27|34|7
543,4|25|33|21|52|40|15|27|34|7
544,4|42|25|33|21|52|40|15|34|7
545,4|42|25|33|21|52|40|15|34|7
546,30|29|48|25|33|21|52|40|34|7
547,42|25|33|21|52|40|15|27|34|7
548,4|42|25|33|21|52|15|27|34|7
549,42|25|33|21|52|40|15|27|34|7
550,48|4|25|33|21|52|40|27|34|7
551,48|42|25|33|21|52|40|15|27|7
552,42|25|33|21|52|40|15|27|34|7
553,29|48|42|25|33|21|40|15|34|7
554,42|25|33|21|52|40|15|27|34|7
555,4|25|33|21|52|40|15|27|34|7
556,29|48|4|42|25|21|40|15|27|34
557,42|25|33|21|52|40|15|27|34|7
558,4|42|25|33|21|52|40|15|27|7
559,48|42|25|33|21|52|40|15|27|34
560,48|42|25|33|21|52|40|15|34|7
561,4|42|33|21|52|40|15|27|34|7
562,48|4|42|25|33|21|15|27|34|7
563,48|4|33|21|52|40|15|27|34|7
564,4|42|25|21|52|40|15|27|34|7
565,48|4|42|33|52|40|15|27|34|7
566,30|29|4|42|25|52|40|15|27|34
567,42|25|33|21|52|40|15|27|34|7
568,42|25|33|21|52|40|15|27|34|7
569,42|25|33|21|52|40|15|27|34|7
570,4|42|25|21|52|40|15|27|34|7
571,42|25|33|21|52|40|15|27|34|7
572,48|4|42|33|21|52|40|15|27|34
573,4|42|25|33|21|52|40|15|27|34
574,4|42|25|33|21|52|40|27|34|7
575,42|25|33|21|52|40|15|27|34|7
576,29|48|4|42|25|33|52|40|15|27
577,48|4|42|25|33|21|52|15|27|7
578,42|25|33|21|52|40|15|27|34|7
579,48|4|42|25|33|52|40|27|34|7
580,42|25|33|21|52|40|15|27|34|7
581,48|4|25|33|21|52|40|15|27|34
582,4|42|25|33|21|52|40|15|27|34
583,30|29|4|25|33|21|52|40|15|27
584,4|25|33|21|52|40|15|27|34|7
585,42|25|33|21|52|40|15|27|34|7
586,48|4|42|25|33|52|40|15|27|7
587,42|25|33|21|52|40|15|27|34|7
588,4|42|25|33|21|52|40|15|27|34
589,42|25|33|21|52|40|15|27|34|7
590,42|25|33|21|52|40|15|27|34|7
591,42|25|33|21|52|40|15|27|34|7
592,4|42|25|33|21|52|40|15|34|7
593,4|42|25|33|21|40|15|27|34|7
594,4|42|25|33|21|52|15|27|34|7
595,4|42|25|33|21|52|40|15|27|7
596,4|42|25|33|21|52|40|15|27|34
597,4|42|25|33|21|52|40|15|34|7
598,48|4|42|25|21|40|15|27|34|7
599,42|25|33|21|52|40|15|27|34|7
600,29|48|4|42|33|21|52|40|15|34
601,4|42|25|33|21|52|40|27|34|7
602,42|25|33|21|52|40|15|27|34|7
603,42|25|33|21|52|40|15|27|34|7
604,4|42|25|33|21|52|40|15|27|34
605,48|4|42|25|33|21|40|15|27|7
606,4|42|25|21|52|40|15|27|34|7
607,42|25|33|21|52|40|15|27|34|7
608,42|25|33|21|52|40|15|27|34|7
609,42|25|33|21|52|40|15|27|34|7
610,4|25|33|21|52|40|15|27|34|7
611,42|25|33|21|52|40|15|27|34|7
612,4|42|25|33|21|52|40|15|27|7
613,48|4|42|25|21|52|40|27|34|7
614,42|25|33|21|52|40|15|27|34|7
615,4|42|33|21|52|40|15|27|34|7
616,4|25|33|21|52|40|15|27|34|7
617,48|4|25|33|21|52|40|15|27|34
618,42|25|33|21|52|40|15|27|34|7
619,42|25|33|21|52|40|15|27|34|7
620,48|4|42|33|21|40|15|27|34|7
621,48|42|25|21|52|40|15|27|34|7
622,29|48|4|42|25|33|21|40|27|7
623,42|25|33|21|52|40|15|27|34|7
624,42|25|33|21|52|40|15|27|34|7
625,4|42|25|33|21|52|40|15|27|34
626,42|25|33|21|52|40|15|27|34|7
627,4|42|25|33|52|40|15|27|34|7
628,48|4|25|33|21|52|40|15|34|7
629,42|25|33|21|52|40|15|27|34|7
630,48|4|42|33|21|52|40|15|27|34
631,4|42|25|21|52|40|15|27|34|7
632,4|42|25|21|52|40|15|27|34|7
633,48|4|42|25|21|40|15|27|34|7
634,4|25|33|21|52|40|15|27|34|7
